Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
1062,Male,Above 40,Employed,"Less than $25,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Jaws chip ,Between $15-$20,2,5,2,1,5,5,4,Starbucks Website/Apps;Emails,No
1063,Male,From 20 to 29,Self-Employed,"$25,000 - $50,000",Monthly,Take away,Between 30 minutes to 1 hour,No,Coffee,Less than $10,4,4,4,1,5,1,3,Social Media;Through friends and word of mouth,Yes
1064,Male,From 20 to 29,Self-Employed,"More than $150,000",Monthly,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,4,4,4,3,3,2,1,Social Media;Through friends and word of mouth,Yes
1065,Female,From 20 to 29,Self-Employed,"$25,000 - $50,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,cake ,More than $20,4,4,1,5,1,4,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1066,Male,From 20 to 29,Student,"$50,000 - $100,000",Never,Take away,Between 2 hours to 3 hours,No,Cold drinks,Less than $10,4,4,3,2,4,4,1,Starbucks Website/Apps,No
1067,Female,Above 40,Student,"$25,000 - $50,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,More than $20,4,5,2,2,3,4,3,Emails,Yes
1068,Male,Above 40,Housewife,"$25,000 - $50,000",Monthly,Take away,Between 30 minutes to 1 hour,No,Coffee;Pastries,Between $15-$20,2,4,3,1,1,5,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1069,Female,From 20 to 29,Housewife,"$25,000 - $50,000",Rarely,Take away,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,3,5,4,5,3,5,5,Social Media,Yes
1070,Male,From 20 to 29,Self-Employed,"More than $150,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Coffee,More than $20,4,1,4,4,4,1,3,Social Media;In Store displays,Yes
1071,Female,Above 40,Employed,"More than $150,000",Monthly,Take away,Between 1 hour to 2 hours,No,Coffee,More than $20,3,5,5,5,2,4,4,Social Media;Through friends and word of mouth,No
1072,Male,Above 40,Employed,"Less than $25,000",Monthly,I dont like coffee,Below 30 minutes,No,Cold drinks,More than $20,4,4,4,3,4,4,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
1073,Male,From 20 to 29,Housewife,"More than $150,000",Daily,Drive-thru,Between 2 hours to 3 hours,Yes,Cold drinks,Between $10-$15,2,3,3,3,5,4,5,Social Media;Through friends and word of mouth,Yes
1074,Male,Below 20,Employed,"More than $150,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,No,Pastries,More than $20,1,1,3,2,4,4,4,Social Media,Yes
1075,Female,From 20 to 29,Student,"$25,000 - $50,000",Daily,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee,More than $20,2,4,3,2,3,5,1,Starbucks Website/Apps;Emails,Yes
1076,Male,From 20 to 29,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Below 30 minutes,No,Coffee,Between $15-$20,4,5,3,4,4,2,1,Social Media,Yes
1077,Male,From 20 to 29,Self-Employed,"$100,000-$150,000",Daily,Drive-thru,Between 1 hour to 2 hours,No,Cold drinks,More than $20,3,4,5,5,5,5,5,Through friends and word of mouth,Yes
1078,Female,From 20 to 29,Student,"$50,000 - $100,000",Never,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,3,3,2,1,5,3,4,Through friends and word of mouth,Yes
1079,Male,Below 20,Housewife,"$50,000 - $100,000",Monthly,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,4,2,5,1,4,2,3,Social Media;Emails,No
1080,Male,From 30 to 39,Self-Employed,"More than $150,000",Weekly,Drive-thru,More than 3 hours,No,Coffee;Pastries,More than $20,1,5,3,1,4,5,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1081,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Weekly,Take away,Between 30 minutes to 1 hour,Yes,Pastries,More than $20,3,2,4,2,1,3,3,Social Media;Emails,Yes
1082,Female,From 20 to 29,Housewife,"$25,000 - $50,000",Never,Never,Between 30 minutes to 1 hour,Yes,Cold drinks,Less than $10,4,5,1,5,2,5,4,Starbucks Website/Apps,No
1083,Male,Below 20,Student,"Less than $25,000",Monthly,never,Below 30 minutes,Yes,Coffee,Less than $10,1,4,1,2,1,3,2,Starbucks Website/Apps;Social Media,Yes
1084,Female,From 20 to 29,Housewife,"$100,000-$150,000",Rarely,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks;Never,Less than $10,2,4,2,2,5,1,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
1085,Female,Below 20,Housewife,"More than $150,000",Daily,Take away,Between 2 hours to 3 hours,Yes,never,Between $10-$15,3,3,1,2,1,1,2,Through friends and word of mouth,Yes
1086,Male,From 20 to 29,Student,"$50,000 - $100,000",Daily,Take away,More than 3 hours,No,Coffee;Pastries,Between $15-$20,3,2,2,4,2,5,5,Social Media,No
1087,Male,Below 20,Employed,"$100,000-$150,000",Monthly,Never ,Between 2 hours to 3 hours,Yes,Cold drinks,Less than $10,5,1,2,5,1,4,1,Social Media,Yes
1088,Male,From 20 to 29,Housewife,"$100,000-$150,000",Rarely,Take away,More than 3 hours,Yes,Cold drinks,Between $15-$20,5,3,3,5,3,4,5,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
1089,Female,Below 20,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Between 30 minutes to 1 hour,No,Nothing ,Less than $10,4,2,2,5,3,4,2,Billboards,Yes
1090,Female,Above 40,Employed,"$25,000 - $50,000",Monthly,Take away,Between 1 hour to 2 hours,No,Cold drinks,Between $10-$15,2,5,5,3,2,1,1,Social Media,Yes
1091,Male,From 20 to 29,Employed,"Less than $25,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,Less than $10,3,5,1,1,4,2,2,In Store displays,No
1092,Male,From 30 to 39,Student,"$100,000-$150,000",Weekly,Dine in,More than 3 hours,No,Cold drinks,More than $20,4,5,2,3,4,4,2,Social Media;Through friends and word of mouth,Yes
1093,Male,From 30 to 39,Employed,"$25,000 - $50,000",Rarely,Dine in,Between 2 hours to 3 hours,No,Cold drinks,Less than $10,4,3,3,3,2,1,4,Social Media,Yes
1094,Female,From 30 to 39,Self-Employed,"$25,000 - $50,000",Monthly,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,4,4,4,1,5,2,5,Starbucks Website/Apps;Social Media,No
1095,Male,Below 20,Housewife,"$100,000-$150,000",Rarely,Take away,Below 30 minutes,Yes,Coffee;Cold drinks;Juices;Pastries;Sandwiches,Less than $10,4,2,2,3,2,3,2,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
1096,Male,From 20 to 29,Housewife,"$25,000 - $50,000",Weekly,Dine in,More than 3 hours,No,Coffee;Cold drinks,More than $20,3,5,1,1,2,4,2,Social Media;Through friends and word of mouth;In Store displays,No
1097,Male,Below 20,Housewife,"$25,000 - $50,000",Never,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,2,2,3,4,2,3,1,Social Media;Through friends and word of mouth;Billboards,No
1098,Male,Below 20,Student,"$50,000 - $100,000",Weekly,Dine in,Below 30 minutes,No,Coffee,More than $20,3,1,3,1,1,4,4,In Store displays,Yes
1099,Female,From 30 to 39,Student,"Less than $25,000",Daily,Take away,Between 30 minutes to 1 hour,No,Coffee,More than $20,2,1,4,3,1,2,2,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",No
1100,Male,Below 20,Self-Employed,"More than $150,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Cold drinks;Pastries,Between $10-$15,1,3,2,4,4,3,2,Social Media;In Store displays,No
1101,Female,Below 20,Self-Employed,"$50,000 - $100,000",Weekly,Take away,Below 30 minutes,No,Coffee,Between $15-$20,2,2,4,1,3,3,2,In Store displays;Billboards,Yes
1102,Male,Below 20,Housewife,"Less than $25,000",Daily,Take away,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,4,3,4,3,4,2,5,Through friends and word of mouth,Yes
1103,Male,Above 40,Housewife,"$100,000-$150,000",Daily,Dine in,Below 30 minutes,Yes,Coffee;Sandwiches,Between $15-$20,4,2,1,4,1,2,5,Starbucks Website/Apps;Social Media,No
1104,Male,Above 40,Student,"More than $150,000",Never,Dine in,Below 30 minutes,Yes,Cold drinks,More than $20,1,3,4,5,2,4,4,Social Media,Yes
1105,Male,Above 40,Employed,"More than $150,000",Monthly,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,5,5,3,1,2,4,5,Starbucks Website/Apps;Social Media,No
1106,Female,Above 40,Housewife,"Less than $25,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Coffee;Cold drinks,Between $15-$20,4,1,1,5,3,5,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1107,Male,From 20 to 29,Self-Employed,"More than $150,000",Monthly,Take away,Between 2 hours to 3 hours,Yes,Cold drinks,Less than $10,5,4,1,4,2,2,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1108,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Daily,Take away,Below 30 minutes,Yes,Coffee,Less than $10,2,3,4,2,1,3,3,Social Media;Through friends and word of mouth,No
1109,Male,Below 20,Employed,"$25,000 - $50,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,3,3,1,4,3,2,4,Social Media,No
1110,Male,From 20 to 29,Student,"$25,000 - $50,000",Never,Take away,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,3,3,3,1,1,1,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
1111,Male,From 20 to 29,Employed,"$100,000-$150,000",Daily,I dont like coffee,Between 2 hours to 3 hours,Yes,Coffee;Sandwiches,Between $10-$15,2,5,1,5,5,2,2,Social Media,No
1112,Male,From 30 to 39,Self-Employed,"Less than $25,000",Rarely,Drive-thru,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,4,3,5,5,1,5,4,Social Media,No
1113,Male,Above 40,Student,"Less than $25,000",Weekly,Drive-thru,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,5,2,1,2,5,1,1,Social Media;Through friends and word of mouth;In Store displays,No
1114,Male,From 20 to 29,Student,"Less than $25,000",Monthly,Drive-thru,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,3,4,5,1,5,1,3,Starbucks Website/Apps,No
1115,Female,From 20 to 29,Employed,"$50,000 - $100,000",Daily,Dine in,More than 3 hours,No,Coffee,Between $15-$20,2,4,4,2,3,4,1,Social Media,No
1116,Female,From 30 to 39,Housewife,"Less than $25,000",Monthly,Drive-thru,Below 30 minutes,Yes,Coffee,Between $15-$20,2,3,3,3,4,5,5,Social Media;Through friends and word of mouth,Yes
1117,Male,Below 20,Employed,"$50,000 - $100,000",Weekly,Dine in,Below 30 minutes,Yes,Coffee,More than $20,1,3,4,1,1,2,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1118,Male,Below 20,Student,"$100,000-$150,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,Yes,Cold drinks,Less than $10,5,4,1,5,1,1,2,Emails,No
1119,Male,Above 40,Employed,"$50,000 - $100,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,5,5,5,1,3,5,1,Social Media;Emails,Yes
1120,Male,Below 20,Self-Employed,"More than $150,000",Never,Take away,Below 30 minutes,No,Coffee,More than $20,5,2,1,4,5,5,3,Social Media,No
1121,Female,Below 20,Self-Employed,"$100,000-$150,000",Monthly,Never,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,3,4,5,3,3,5,5,Through friends and word of mouth,Yes
1122,Male,From 20 to 29,Employed,"$50,000 - $100,000",Never,never,Between 30 minutes to 1 hour,Yes,Cold drinks;Pastries;Sandwiches,Between $15-$20,5,4,5,1,4,5,2,Social Media;Through friends and word of mouth,Yes
1123,Male,Above 40,Housewife,"$50,000 - $100,000",Weekly,Dine in,Below 30 minutes,No,Coffee;Juices;Pastries;Sandwiches,More than $20,1,5,1,2,1,2,1,Through friends and word of mouth;In Store displays,No
1124,Female,From 20 to 29,Housewife,"More than $150,000",Weekly,Take away,Below 30 minutes,Yes,Coffee;Cold drinks,Less than $10,4,1,1,2,4,1,1,Social Media;In Store displays;Billboards,Yes
1125,Male,Below 20,Self-Employed,"$25,000 - $50,000",Daily,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,3,3,3,2,1,2,4,Application offer,Yes
1126,Female,From 20 to 29,Housewife,"$50,000 - $100,000",Never,Never ,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,5,1,5,5,5,1,5,Social Media,Yes
1127,Male,Above 40,Student,"$25,000 - $50,000",Monthly,Take away,More than 3 hours,No,Coffee,Between $15-$20,5,1,1,2,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,Yes
1128,Male,From 20 to 29,Housewife,"Less than $25,000",Weekly,Dine in,Between 2 hours to 3 hours,No,Coffee,Less than $10,5,3,4,5,1,3,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1129,Male,Above 40,Student,"More than $150,000",Daily,Take away,Between 2 hours to 3 hours,No,Coffee;Pastries;Sandwiches,More than $20,5,2,2,1,2,1,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1130,Male,From 30 to 39,Housewife,"$100,000-$150,000",Monthly,Dine in,Between 1 hour to 2 hours,Yes,Coffee;Pastries,More than $20,1,1,4,1,1,1,1,In Store displays,Yes
1131,Female,From 20 to 29,Self-Employed,"Less than $25,000",Weekly,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,2,3,3,3,5,5,3,Social Media,No
1132,Male,From 20 to 29,Self-Employed,"$25,000 - $50,000",Rarely,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,3,5,1,3,3,4,1,Social Media,No
1133,Female,From 30 to 39,Employed,"More than $150,000",Weekly,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,1,1,1,2,4,5,3,Social Media;Through friends and word of mouth;Billboards,No
1134,Female,From 30 to 39,Housewife,"More than $150,000",Never,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,4,4,4,3,5,5,3,Social Media,Yes
1135,Female,Below 20,Self-Employed,"$100,000-$150,000",Rarely,Dine in,More than 3 hours,No,Cold drinks,More than $20,5,2,4,5,3,4,5,Social Media,Yes
1136,Male,Below 20,Housewife,"$100,000-$150,000",Weekly,Dine in,Between 1 hour to 2 hours,No,Coffee,More than $20,3,1,2,1,2,2,3,Starbucks Website/Apps;Social Media,Yes
1137,Female,Below 20,Employed,"$100,000-$150,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Cold drinks;Juices;Pastries,Between $15-$20,3,4,3,3,1,2,5,In Store displays,Yes
1138,Female,Above 40,Self-Employed,"$100,000-$150,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,2,2,4,4,3,3,1,Starbucks Website/Apps;Social Media,No
1139,Male,Above 40,Housewife,"More than $150,000",Daily,Dine in,Below 30 minutes,No,Coffee,Between $15-$20,4,3,2,4,2,1,1,Social Media,No
1140,Female,From 20 to 29,Self-Employed,"Less than $25,000",Never,Take away,Between 1 hour to 2 hours,Yes,Coffee,More than $20,2,1,5,1,1,3,2,Starbucks Website/Apps;Social Media,No
1141,Male,From 20 to 29,Employed,"$25,000 - $50,000",Rarely,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,2,2,4,4,1,2,3,Social Media,No
1142,Male,From 30 to 39,Housewife,"$25,000 - $50,000",Rarely,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee;Pastries,More than $20,4,4,5,5,3,2,2,Starbucks Website/Apps;Social Media;Emails;Billboards,Yes
1143,Male,Below 20,Student,"$100,000-$150,000",Never,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,4,5,5,3,4,1,3,Social Media,Yes
1144,Female,Above 40,Student,"$50,000 - $100,000",Monthly,Dine in,Below 30 minutes,Yes,Coffee;Pastries,Between $15-$20,5,1,3,2,1,4,2,Social Media,No
1145,Male,Below 20,Self-Employed,"Less than $25,000",Daily,Dine in,Below 30 minutes,No,Cold drinks,More than $20,4,4,3,1,3,3,2,Through friends and word of mouth,No
1146,Female,Below 20,Student,"More than $150,000",Never,Take away,More than 3 hours,Yes,Coffee,Between $15-$20,4,1,5,4,3,3,5,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
1147,Male,From 20 to 29,Employed,"$25,000 - $50,000",Daily,Take away,Between 1 hour to 2 hours,No,Cold drinks,Between $10-$15,2,3,1,2,1,3,4,Social Media;Through friends and word of mouth,No
1148,Male,Above 40,Housewife,"$25,000 - $50,000",Weekly,Take away,Between 2 hours to 3 hours,Yes,Cold drinks,Between $15-$20,3,5,2,4,2,2,3,Social Media,No
1149,Female,Above 40,Employed,"More than $150,000",Monthly,Take away,Below 30 minutes,Yes,Coffee,More than $20,5,4,5,1,4,3,3,Social Media;In Store displays,Yes
1150,Female,Below 20,Student,"More than $150,000",Monthly,Drive-thru,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,4,4,1,4,3,2,1,Social Media;Through friends and word of mouth,No
1151,Female,From 30 to 39,Housewife,"$25,000 - $50,000",Never,Dine in,Below 30 minutes,No,Cold drinks;Juices;Pastries,Between $10-$15,2,4,1,4,4,1,3,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",No
1152,Male,From 20 to 29,Employed,"Less than $25,000",Never,Take away,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,2,5,5,4,1,5,2,Social Media,No
1153,Female,Above 40,Self-Employed,"$100,000-$150,000",Rarely,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,3,2,4,2,5,5,1,Social Media;Through friends and word of mouth,Yes
1154,Male,From 20 to 29,Employed,"$100,000-$150,000",Daily,Take away,Between 30 minutes to 1 hour,No,Coffee,More than $20,1,5,1,5,2,3,4,Starbucks Website/Apps,No
1155,Male,Above 40,Employed,"Less than $25,000",Daily,Dine in,Between 2 hours to 3 hours,No,Coffee;Cold drinks,More than $20,5,3,4,4,2,3,5,In Store displays,Yes
1156,Male,From 30 to 39,Housewife,"$25,000 - $50,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,2,5,4,2,1,2,5,Through friends and word of mouth,No
1157,Female,From 30 to 39,Student,"Less than $25,000",Never,Drive-thru,Below 30 minutes,No,Coffee,Between $10-$15,1,3,4,5,3,3,1,Social Media,Yes
1158,Female,From 30 to 39,Student,"Less than $25,000",Rarely,Dine in,More than 3 hours,Yes,Cold drinks,Between $15-$20,5,1,1,3,3,1,1,Starbucks Website/Apps;Social Media,No
1159,Female,From 30 to 39,Employed,"More than $150,000",Monthly,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,5,2,2,5,1,5,4,Social Media,Yes
1160,Male,Below 20,Self-Employed,"$50,000 - $100,000",Never,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee;Cold drinks,More than $20,1,5,1,1,1,5,1,In Store displays,No
1161,Female,From 30 to 39,Housewife,"$25,000 - $50,000",Never,Take away,Below 30 minutes,No,Coffee,Less than $10,3,3,5,4,2,5,5,Social Media,Yes
1162,Female,Below 20,Housewife,"$100,000-$150,000",Rarely,Drive-thru,Between 1 hour to 2 hours,No,Coffee,More than $20,3,5,5,4,1,2,3,Social Media;Through friends and word of mouth,No
1163,Female,Above 40,Self-Employed,"$25,000 - $50,000",Daily,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,5,5,1,1,1,5,1,Social Media,Yes
1164,Male,From 30 to 39,Self-Employed,"$100,000-$150,000",Weekly,Take away,More than 3 hours,Yes,Coffee,Less than $10,1,2,3,1,1,5,4,Through friends and word of mouth,Yes
1165,Male,From 30 to 39,Self-Employed,"Less than $25,000",Rarely,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee;Cold drinks;Pastries;Sandwiches,Between $10-$15,5,2,5,4,2,4,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1166,Male,From 20 to 29,Housewife,"$25,000 - $50,000",Never,Take away,Between 1 hour to 2 hours,No,Never,More than $20,4,3,1,1,4,4,3,Never hear,Yes
1167,Female,Above 40,Employed,"Less than $25,000",Never,Dine in,Between 2 hours to 3 hours,Yes,Coffee,More than $20,2,4,3,2,2,3,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
1168,Male,From 20 to 29,Employed,"$25,000 - $50,000",Weekly,Take away,Between 2 hours to 3 hours,No,Cold drinks,Between $15-$20,1,5,4,3,1,1,3,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
1169,Female,From 20 to 29,Student,"Less than $25,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,5,5,1,3,2,5,4,Social Media;Through friends and word of mouth,Yes
1170,Female,From 30 to 39,Self-Employed,"$100,000-$150,000",Never,Take away,Between 1 hour to 2 hours,No,Coffee;Sandwiches,More than $20,4,2,1,5,3,4,5,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",Yes
1171,Female,Above 40,Housewife,"$100,000-$150,000",Daily,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,5,4,2,4,4,3,2,Through friends and word of mouth,Yes
1172,Male,Above 40,Housewife,"$50,000 - $100,000",Monthly,Take away,Between 30 minutes to 1 hour,No,Cold drinks,Between $15-$20,4,4,2,4,3,1,5,Starbucks Website/Apps;Social Media,No
1173,Female,Below 20,Employed,"$100,000-$150,000",Weekly,Take away,Between 2 hours to 3 hours,No,Coffee;Cold drinks,Between $15-$20,1,1,3,5,1,1,4,Social Media,No
1174,Male,Below 20,Student,"$50,000 - $100,000",Monthly,Take away,Between 1 hour to 2 hours,Yes,Coffee,More than $20,3,2,4,5,1,1,1,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",No
